Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
56,US Virgin Islands,2016-06-17 7:12,2016-06-17 7:12,18.335765,-64.896335, - ,"Hind Bank MCD,Hind Bank MCD,Hind Bank MCD,Hind Bank MCD,Mid-shelf Reef 1,South St. Thomas,Hind Bank MCD,Hind Bank MCD,Red Hind Bank,Lang Bank,Hind Bank MCD,Hind Bank MCD,Southeast of St. Thomas,Perseverance Bay,St. Croix,Hind Bank MCD,Hind Bank MCD,St Thomas,St Croix,Unnamed site,Black Point,Flat Cay,Unnamed site,Salt River Canyon, St. Croix,Unnamed site,insular shelf south St Thomas,insular shelf south St John,Cane Bay, St Croix,St. John,Flat Cay,Buck Island,College shoal,Buck Island,South Capella","18.22,18.22,18.178,18.197,18.25,18.304,18.197,18.2,18.203,17.817,18.185,18.214,18.294,18.346,17.75,18.205,18.205,18.261,17.706,18.465,18.344,18.318,18.0,17.787,18.318,18.261,18.249,17.773,18.222,18.53,18.465,18.31,18.279,18.263","-65.1,-64.983,-65.1,-64.983,-64.77,-64.96,-65.079,-65.667,-65.002,-64.45,-65.076,-64.999,-64.868,-64.987,-64.833,-65.003,-65.1,-64.85,-64.859,-65.489,-64.986,-64.989,-65.0,-64.759,-64.989,-64.85,-64.769,-64.811,-64.676,-65.652,-65.498,-65.128,-64.898,-64.872",USA,US Virgin Islands,
58,USA - Pulley Ridge,2016-06-17 7:12,2017-05-24 4:47,24.581471,-81.639404, - ,"Pulley Reef,southern Pulley Ridge,southern Pulley Ridge,Upper Keys,Lower Keys,Dry Tortugas,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Eastern Gulf of Mexico,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Upper Keys,Lower Keys,Dry Tortugas,Marathon, Florida","24.833,25.0,24.667,24.978,24.89,24.652,28.333,28.333,28.7,28.7,24.581471,24.607,27.0,27.0,24.5,24.5,25.4,26.292,26.292,26.017,26.017,24.934,24.516,24.611,24.395","-83.667,-83.6,-83.783,-80.459,-81.645,-82.89,-84.167,-84.417,-84.167,-84.417,-81.639404,-81.093,-84.667,-82.5,-84.0,-81.667,-82.3,-80.067,-80.042,-80.067,-80.083,-80.563,-81.542,-82.871,-81.004",USA ,Pulley Ridge,
59,USA - Gulf of Mexico,2016-06-17 7:12,2017-05-24 4:47,25.304304,-90.065918, - ,"Alabama Alps Reef,Talus Block,Yellowtail Reef,Roughtongue Reef,Coral Tree Reef,Madison Swanson Reef,Unnamed site","29.254,29.321,29.45,29.439,29.487,29.187,25.304304","-88.339,-87.767,-87.592,-87.576,-86.139,-85.679,-90.065918",USA ,Gulf of Mexico,
60,USA - Continental Atlantic Ocean,2016-06-17 7:12,2023-10-27 18:21,35.235525,-75.476074, - ,"Cape Fear,Cape Fear,American Shoal","33.533,33.642,0.0","-77.417,-76.942,0.0",USA ,USA ,
61,USA - Continental Pacific Ocean,2016-06-17 7:12,2023-10-27 18:21,44.635437,-125.024414, - ,"Heceta Bank,Farnsworth Bank, Santa Catalina Island","44.033,33.385","-124.867,-118.506",USA ,USA ,
62,Vanuatu,2016-06-17 7:12,2016-06-17 7:12,-15.377,166.959, - ,"Espiritu Santo, Vanuatu",15.544,167.275,Vanuatu,Vanuatu,
63,Venezuela - Caribbean Sea,2016-06-17 7:12,2023-10-23 18:47,11.75,-64.417, - ,Los Hermanos,11.75,-64.417,Venezuela ,Venezuela ,
76,Poland,2017-04-18 2:29,2017-04-18 2:29,52.237049,21.017532, - ,,,,Poland,Poland,
77,Philippines,2017-04-18 2:57,2023-11-02 22:15,14.599512,120.984222, - ,"Unnamed site,Bauan (Batangas),Apo Reef","13.801,13.8025,12.8582","120.911,120.91125,120.8925",Philippines,Philippines,
78,São Tomé and Príncipe,2017-04-18 2:59,2017-04-18 2:59,0.33654,6.72732, - ,Lagoa Azul,0.409,6.608,Sao Tome and Principe,Sao Tome and Principe,
79,Brunei,2017-04-18 3:00,2017-04-18 3:00,4.535277,114.727669, - ,,,,Brunei,Brunei,
